ID,Modello,Difficoltà,Numero tessere,Dimensione scacchiera,Tempo esecuzione (s),Totale tessere,Tessere inserite,Tessere non inserite,solver,batch,Modello_Solver
2,domino_posizione,easy,5,5,0.3591194152832031,5,5,0,Gecode,1,domino_posizione_Gecode
2,domino_base,easy,5,5,0.1414532661437988,5,5,0,Gecode,1,domino_base_Gecode
2,domino_inserite,easy,5,5,0.1446046829223632,5,5,0,Gecode,1,domino_inserite_Gecode
3,domino_orientamento,easy,3,5,0.111415147781372,3,3,0,Gecode,1,domino_orientamento_Gecode
3,domino_posizione,easy,3,5,0.1185095310211181,3,3,0,Gecode,1,domino_posizione_Gecode
3,domino_base,easy,3,5,0.1078932285308837,3,3,0,Gecode,1,domino_base_Gecode
3,domino_inserite,easy,3,5,0.1171457767486572,3,3,0,Gecode,1,domino_inserite_Gecode
4,domino_orientamento,easy,3,2,0.1115460395812988,3,0,3,Gecode,1,domino_orientamento_Gecode
4,domino_posizione,easy,3,2,0.1086134910583496,3,0,3,Gecode,1,domino_posizione_Gecode
4,domino_base,easy,3,2,0.1053309440612793,3,0,3,Gecode,1,domino_base_Gecode
4,domino_inserite,easy,3,2,0.1042432785034179,3,0,3,Gecode,1,domino_inserite_Gecode
5,domino_orientamento,medium,10,7,0.4469523429870605,10,10,0,Gecode,1,domino_orientamento_Gecode
5,domino_posizione,medium,10,7,300.1476302146912,10,5,5,Gecode,1,domino_posizione_Gecode
5,domino_base,medium,10,7,7.687581777572632,10,10,0,Gecode,1,domino_base_Gecode
5,domino_inserite,medium,10,7,300.1496925354004,10,9,1,Gecode,1,domino_inserite_Gecode
6,domino_orientamento,medium,6,9,0.1780574321746826,6,6,0,Gecode,1,domino_orientamento_Gecode
6,domino_posizione,medium,6,9,0.8494575023651123,6,6,0,Gecode,1,domino_posizione_Gecode
6,domino_base,medium,6,9,0.1769883632659912,6,6,0,Gecode,1,domino_base_Gecode
6,domino_inserite,medium,6,9,0.1784007549285888,6,6,0,Gecode,1,domino_inserite_Gecode
7,domino_orientamento,medium,10,7,2.6794447898864746,10,10,0,Gecode,1,domino_orientamento_Gecode
7,domino_posizione,medium,10,7,300.15631103515625,10,4,6,Gecode,1,domino_posizione_Gecode
7,domino_base,medium,10,7,5.266595840454102,10,10,0,Gecode,1,domino_base_Gecode
7,domino_inserite,medium,10,7,7.146648645401001,10,10,0,Gecode,1,domino_inserite_Gecode
8,domino_orientamento,medium,7,8,0.1792623996734619,7,7,0,Gecode,1,domino_orientamento_Gecode
8,domino_posizione,medium,7,8,8.447054386138916,7,7,0,Gecode,1,domino_posizione_Gecode
8,domino_base,medium,7,8,0.216188907623291,7,7,0,Gecode,1,domino_base_Gecode
8,domino_inserite,medium,7,8,0.2054779529571533,7,7,0,Gecode,1,domino_inserite_Gecode
9,domino_orientamento,hard,10,15,0.3781881332397461,10,10,0,Gecode,1,domino_orientamento_Gecode
9,domino_posizione,hard,10,15,300.13924908638,10,8,2,Gecode,1,domino_posizione_Gecode
9,domino_base,hard,10,15,115.00094509124756,10,10,0,Gecode,1,domino_base_Gecode
9,domino_inserite,hard,10,15,0.4119327068328857,10,10,0,Gecode,1,domino_inserite_Gecode
10,domino_orientamento,hard,10,18,0.3825545310974121,10,10,0,Gecode,1,domino_orientamento_Gecode
10,domino_posizione,hard,10,18,300.15238666534424,10,9,1,Gecode,1,domino_posizione_Gecode
10,domino_base,hard,10,18,6.179076671600342,10,10,0,Gecode,1,domino_base_Gecode
10,domino_inserite,hard,10,18,0.4537837505340576,10,10,0,Gecode,1,domino_inserite_Gecode
1,domino_base,easy,3,5,0.1104192733764648,3,3,0,chuffed,1,domino_base_chuffed
2,domino_base,easy,5,5,0.1442408561706543,5,5,0,chuffed,1,domino_base_chuffed
3,domino_base,easy,3,5,0.1116671562194824,3,3,0,chuffed,1,domino_base_chuffed
4,domino_base,easy,3,2,0.1239287853240966,3,0,3,chuffed,1,domino_base_chuffed
5,domino_base,medium,10,7,11.61815357208252,10,10,0,chuffed,1,domino_base_chuffed
6,domino_base,medium,6,9,0.1975390911102295,6,6,0,chuffed,1,domino_base_chuffed
7,domino_base,medium,10,7,9.303675413131714,10,10,0,chuffed,1,domino_base_chuffed
8,domino_base,medium,7,8,0.2101578712463379,7,7,0,chuffed,1,domino_base_chuffed
9,domino_base,hard,10,15,0.7614638805389404,10,10,0,chuffed,1,domino_base_chuffed
10,domino_base,hard,10,18,1.0048506259918213,10,10,0,chuffed,1,domino_base_chuffed
1,domino_orientamento,easy,5,2,0.1533694267272949,5,0,5,Gecode,2,domino_orientamento_Gecode
1,domino_posizione,easy,5,2,0.1368350982666015,5,0,5,Gecode,2,domino_posizione_Gecode
1,domino_base,easy,5,2,0.1276206970214843,5,0,5,Gecode,2,domino_base_Gecode
1,domino_inserite,easy,5,2,0.1272025108337402,5,0,5,Gecode,2,domino_inserite_Gecode
2,domino_orientamento,easy,3,4,0.1086173057556152,3,3,0,Gecode,2,domino_orientamento_Gecode
2,domino_posizione,easy,3,4,0.1088147163391113,3,3,0,Gecode,2,domino_posizione_Gecode
2,domino_base,easy,3,4,0.1085677146911621,3,3,0,Gecode,2,domino_base_Gecode
2,domino_inserite,easy,3,4,0.1082665920257568,3,3,0,Gecode,2,domino_inserite_Gecode
3,domino_orientamento,easy,3,4,0.11018967628479,3,3,0,Gecode,2,domino_orientamento_Gecode
3,domino_posizione,easy,3,4,0.1091945171356201,3,3,0,Gecode,2,domino_posizione_Gecode
3,domino_base,easy,3,4,0.1090712547302246,3,3,0,Gecode,2,domino_base_Gecode
3,domino_inserite,easy,3,4,0.1385912895202636,3,3,0,Gecode,2,domino_inserite_Gecode
